New topic,/v_meas
rosbagTimestamp,data
1.55425504421041E+018,2.5275495052
1.55425504423003E+018,2.5275495052
1.55425504425008E+018,2.5275495052
1.55425504427005E+018,2.489495039
1.55425504429017E+018,2.489495039
1.55425504431019E+018,2.3807740212
1.55425504433032E+018,2.3807740212
1.55425504435021E+018,2.3807740212
1.55425504437029E+018,2.5270903111
1.55425504439054E+018,2.5270903111
1.55425504441024E+018,2.4348073006
1.55425504442977E+018,2.4348073006
1.55425504445052E+018,2.4348073006
1.55425504446989E+018,2.5102128983
1.55425504449076E+018,2.5102128983
1.55425504451061E+018,2.5102128983
1.55425504453027E+018,2.434006691
1.55425504455034E+018,2.434006691
1.55425504457018E+018,2.2887277603
1.55425504459001E+018,2.2887277603
1.55425504460989E+018,2.2887277603
1.55425504462985E+018,2.3405661583
1.55425504464992E+018,2.3405661583
1.55425504467031E+018,2.3429880142
1.55425504469068E+018,2.3429880142
1.55425504470998E+018,2.3429880142
1.55425504472973E+018,2.1706836224
1.55425504475057E+018,2.1706836224
1.5542550447704E+018,2.1753950119
1.55425504478992E+018,2.1753950119
1.55425504480992E+018,2.1753950119
1.55425504482981E+018,2.1334872246
1.55425504485014E+018,2.1334872246
1.55425504487008E+018,2.1334872246
1.55425504488999E+018,2.0418851376
1.55425504490997E+018,2.0418851376
1.55425504493032E+018,1.9643367529
1.55425504495012E+018,1.9643367529
1.55425504497005E+018,1.9643367529
1.55425504498988E+018,1.8887213469
1.55425504501019E+018,1.8887213469
1.55425504503068E+018,1.8887213469
1.55425504505035E+018,1.9304156303
1.55425504506986E+018,1.9304156303
1.55425504509016E+018,1.8701038361
1.55425504510994E+018,1.8701038361
1.55425504513041E+018,1.8701038361
1.55425504515011E+018,1.7743449211
1.55425504516969E+018,1.7743449211
1.55425504518983E+018,1.7001550198
1.55425504521015E+018,1.7001550198
1.5542550452303E+018,1.7001550198
1.5542550452502E+018,1.680814147
1.5542550452698E+018,1.680814147
1.55425504529029E+018,1.680814147
1.55425504531016E+018,1.6394366026
1.55425504533021E+018,1.6394366026
1.55425504535036E+018,1.5462263823
1.55425504536996E+018,1.5462263823
1.55425504538985E+018,1.5462263823
1.55425504540996E+018,1.526227355
1.55425504543001E+018,1.526227355
1.55425504545013E+018,1.488871932
1.55425504547006E+018,1.488871932
1.55425504549063E+018,1.488871932
1.55425504551016E+018,1.3973791599
1.55425504553033E+018,1.3973791599
1.55425504555003E+018,1.3973791599
1.5542550455697E+018,1.3180543184
1.55425504558997E+018,1.3180543184
1.55425504560986E+018,1.2992614508
1.55425504563015E+018,1.2992614508
1.55425504565022E+018,1.2992614508
1.55425504566975E+018,1.2634290457
1.55425504568978E+018,1.2634290457
1.55425504570985E+018,1.1679583788
1.5542550457297E+018,1.1679583788
1.55425504575006E+018,1.1679583788
1.55425504577034E+018,1.2069220543
1.55425504578986E+018,1.2069220543
1.55425504581009E+018,1.2069220543
1.55425504582992E+018,1.0372815132
1.55425504584995E+018,1.0372815132
1.55425504587008E+018,1.0952285528
1.55425504588967E+018,1.0952285528
1.5542550459097E+018,1.0952285528
1.55425504593001E+018,0.9829668403
1.55425504595054E+018,0.9829668403
1.5542550459698E+018,0.9655045271
1.55425504599003E+018,0.9655045271
1.55425504600993E+018,0.9655045271
1.5542550460303E+018,0.9256603122
1.5542550460501E+018,0.9256603122
1.55425504607034E+018,0.9256603122
1.55425504609013E+018,0.8884451389
1.55425504610998E+018,0.8884451389
1.55425504613056E+018,0.794044733
1.55425504614992E+018,0.794044733
1.55425504616971E+018,0.794044733
1.55425504618979E+018,0.830583632
1.55425504621013E+018,0.830583632
1.55425504623005E+018,0.774131
1.55425504624963E+018,0.774131
1.55425504626993E+018,0.774131
1.5542550462903E+018,0.6245364547
1.55425504631039E+018,0.6245364547
1.55425504632996E+018,0.7390062213
1.55425504635004E+018,0.7390062213
1.55425504637022E+018,0.7390062213
1.55425504639027E+018,0.6048645377
1.55425504641016E+018,0.6048645377
1.55425504643041E+018,0.6048645377
1.55425504645017E+018,0.5291875601
1.55425504646959E+018,0.5291875601
1.55425504649042E+018,0.5108329654
1.55425504651033E+018,0.5108329654
1.5542550465304E+018,0.5108329654
1.55425504655052E+018,0.5294129252
1.55425504657016E+018,0.5294129252
1.55425504658977E+018,0.4154778719
1.55425504661034E+018,0.4154778719
1.55425504662998E+018,0.4154778719
1.55425504665007E+018,0.4540798664
1.55425504667042E+018,0.4540798664
1.55425504669004E+018,0.2854057848
1.55425504671017E+018,0.2854057848
1.55425504673E+018,0.2854057848
1.55425504675022E+018,0.4611501098
1.5542550467703E+018,0.4611501098
1.55425504679036E+018,0.4611501098
1.55425504681042E+018,0.3668142259
1.55425504682998E+018,0.3668142259
1.55425504685015E+018,0.3295491636
1.55425504686995E+018,0.3295491636
1.55425504688988E+018,0.3295491636
1.55425504691001E+018,0.2916020155
1.55425504693008E+018,0.2916020155
1.55425504694975E+018,0.3108297288
1.55425504697068E+018,0.3108297288
1.55425504699013E+018,0.3108297288
1.55425504701068E+018,0.2523201406
1.55425504703012E+018,0.2523201406
1.5542550470499E+018,0.1587489843
1.55425504706982E+018,0.1587489843
1.55425504708996E+018,0.1587489843
1.5542550471099E+018,0.1974011362
1.55425504713006E+018,0.1974011362
1.55425504715058E+018,0.1398644298
1.55425504716988E+018,0.1398644298
1.55425504719009E+018,0.1398644298
1.55425504720996E+018,0.1590902507
1.55425504722983E+018,0.1590902507
