New topic,/v_meas
rosbagTimestamp,data
1.55425513450544E+018,2.6007108688
1.55425513452554E+018,2.6007108688
1.55425513454552E+018,2.6007108688
1.55425513456566E+018,2.5107016563
1.55425513458538E+018,2.5107016563
1.55425513460566E+018,2.5817422867
1.55425513462543E+018,2.5817422867
1.55425513464544E+018,2.5817422867
1.55425513466566E+018,2.5630309582
1.5542551346859E+018,2.5630309582
1.55425513470548E+018,2.5625340939
1.55425513472698E+018,2.5625340939
1.55425513474531E+018,2.5625340939
1.5542551347653E+018,2.562951088
1.55425513478542E+018,2.562951088
1.55425513480541E+018,2.562951088
1.55425513482538E+018,2.5080661774
1.55425513484615E+018,2.5080661774
1.55425513486532E+018,2.5258152485
1.55425513488547E+018,2.5258152485
1.55425513490552E+018,2.5258152485
1.55425513492587E+018,2.4688732624
1.55425513494542E+018,2.4688732624
1.55425513496578E+018,2.4688732624
1.55425513498538E+018,2.4323792458
1.55425513500812E+018,2.4323792458
1.55425513502534E+018,2.2824487686
1.55425513504574E+018,2.2824487686
1.55425513506581E+018,2.2824487686
1.55425513508608E+018,2.3354828358
1.55425513510592E+018,2.3354828358
1.55425513512589E+018,2.2225708962
1.55425513514527E+018,2.2225708962
1.55425513516544E+018,2.2225708962
1.55425513518542E+018,2.1472449303
1.55425513520549E+018,2.1472449303
1.55425513522536E+018,2.1472449303
1.55425513524546E+018,2.1831922531
1.55425513526551E+018,2.1831922531
1.55425513528538E+018,2.0131075382
1.55425513530549E+018,2.0131075382
1.55425513532554E+018,2.0131075382
1.55425513534589E+018,2.0158081055
1.55425513536537E+018,2.0158081055
1.55425513538549E+018,1.9220737219
1.55425513540543E+018,1.9220737219
1.55425513542554E+018,1.9220737219
1.55425513544523E+018,1.9039407969
1.55425513546533E+018,1.9039407969
1.55425513548505E+018,1.9039407969
1.55425513550529E+018,1.8703120947
1.55425513552535E+018,1.8703120947
1.55425513554536E+018,1.8288089037
1.55425513556523E+018,1.8288089037
1.55425513558542E+018,1.8288089037
1.55425513560557E+018,1.734552145
1.55425513562541E+018,1.734552145
1.55425513564525E+018,1.7157931328
1.55425513566505E+018,1.7157931328
1.55425513568551E+018,1.7157931328
1.55425513570548E+018,1.6783403158
1.5542551357254E+018,1.6783403158
1.55425513574558E+018,1.6783403158
1.55425513576578E+018,1.5305148363
1.5542551357857E+018,1.5305148363
1.55425513580538E+018,1.5324691534
1.5542551358254E+018,1.5324691534
1.55425513584526E+018,1.5324691534
1.55425513586538E+018,1.4920289516
1.55425513588565E+018,1.4920289516
1.55425513590539E+018,1.4541341066
1.55425513592535E+018,1.4541341066
1.55425513594539E+018,1.4541341066
1.5542551359654E+018,1.3623828888
1.55425513598532E+018,1.3623828888
1.55425513600531E+018,1.3623828888
1.55425513602549E+018,1.2829750776
1.55425513604543E+018,1.2829750776
1.55425513606565E+018,1.2645144463
1.55425513608547E+018,1.2645144463
1.55425513610535E+018,1.2645144463
1.55425513612558E+018,1.2272776365
1.55425513614543E+018,1.2272776365
1.55425513616519E+018,1.1896675825
1.55425513618545E+018,1.1896675825
1.55425513620522E+018,1.1896675825
1.55425513622555E+018,1.0967082977
1.55425513624597E+018,1.0967082977
1.55425513626567E+018,1.0967082977
1.55425513628579E+018,1.0763642788
1.55425513630517E+018,1.0763642788
1.55425513632552E+018,1.0382272005
1.55425513634569E+018,1.0382272005
1.55425513636557E+018,1.0382272005
1.55425513638556E+018,1.0003551245
1.55425513640524E+018,1.0003551245
1.55425513642532E+018,0.9065067768
1.5542551364458E+018,0.9065067768
1.55425513646573E+018,0.9065067768
1.55425513648538E+018,0.9434398413
1.55425513650583E+018,0.9434398413
1.5542551365254E+018,0.8314598203
1.55425513654553E+018,0.8314598203
1.5542551365654E+018,0.8314598203
1.55425513658562E+018,0.8139805198
1.5542551366055E+018,0.8139805198
1.55425513662539E+018,0.8139805198
1.5542551366453E+018,0.7757987976
1.55425513666544E+018,0.7757987976
1.55425513668524E+018,0.6822188497
1.55425513670527E+018,0.6822188497
1.55425513672547E+018,0.6822188497
1.55425513674532E+018,0.7200630307
1.55425513676548E+018,0.7200630307
1.55425513678501E+018,0.6643996835
1.55425513680519E+018,0.6643996835
1.55425513682572E+018,0.6643996835
1.55425513684538E+018,0.6261338592
1.55425513686595E+018,0.6261338592
1.55425513688545E+018,0.6261338592
1.55425513690578E+018,0.5323408842
1.55425513692528E+018,0.5323408842
1.55425513694583E+018,0.5711115003
1.55425513696597E+018,0.5711115003
1.55425513698554E+018,0.5711115003
1.55425513700558E+018,0.456711024
1.55425513702539E+018,0.456711024
1.5542551370455E+018,0.4376856983
1.55425513706552E+018,0.4376856983
1.55425513708548E+018,0.4376856983
1.55425513710562E+018,0.3996123075
1.55425513712527E+018,0.3996123075
1.55425513714537E+018,0.3627589643
1.55425513716553E+018,0.3627589643
1.55425513718529E+018,0.3627589643
1.55425513720525E+018,0.3238268495
1.55425513722537E+018,0.3238268495
1.55425513724562E+018,0.2284821272
1.55425513726504E+018,0.2284821272
1.55425513728553E+018,0.2284821272
1.55425513730557E+018,0.2670937181
1.55425513732539E+018,0.2670937181
1.55425513734533E+018,0.2670937181
1.55425513736532E+018,0.2102966011
1.55425513738521E+018,0.2102966011
1.5542551374054E+018,0.1724022776
1.55425513742519E+018,0.1724022776
1.55425513744564E+018,0.1724022776
1.55425513746567E+018,0.1336316764
1.55425513748582E+018,0.1336316764
1.5542551375056E+018,0.153102532
1.55425513752568E+018,0.153102532
1.55425513754579E+018,0.153102532
1.55425513756577E+018,0.1528907269
1.55425513758547E+018,0.1528907269
1.55425513760531E+018,0.0952697545
1.55425513762543E+018,0.0952697545
1.55425513764521E+018,0.0952697545
1.5542551376656E+018,0.0569868386
1.55425513768515E+018,0.0569868386
1.55425513770553E+018,0.0765657946
1.55425513772539E+018,0.0765657946
1.55425513774568E+018,0.0765657946
1.55425513776557E+018,0.0765657946
1.55425513778533E+018,0.0765657946
1.55425513780602E+018,0.0765657946
1.55425513782542E+018,0.0190537386
1.55425513784517E+018,0.0190537386
1.55425513786517E+018,0.038234517
1.55425513788538E+018,0.038234517
1.5542551379054E+018,0.038234517
1.55425513792538E+018,0.038234517
1.55425513794515E+018,0.038234517
1.5542551379654E+018,0.038234517
1.55425513798594E+018,0.038234517
1.55425513800555E+018,0.038234517
