New topic,/v_meas
rosbagTimestamp,data
1.55425517699743E+018,2.279450655
1.55425517701722E+018,2.279450655
1.55425517703761E+018,2.279450655
1.55425517705754E+018,2.2078664303
1.55425517707726E+018,2.2078664303
1.55425517709775E+018,2.1119253635
1.55425517711756E+018,2.1119253635
1.55425517713756E+018,2.1119253635
1.55425517715735E+018,2.1505155563
1.55425517717738E+018,2.1505155563
1.55425517719755E+018,2.0934171677
1.55425517721755E+018,2.0934171677
1.55425517723742E+018,2.0934171677
1.55425517725761E+018,2.0608897209
1.55425517727734E+018,2.0608897209
1.55425517729739E+018,2.0608897209
1.5542551773174E+018,1.9081654549
1.55425517733839E+018,1.9081654549
1.55425517735768E+018,1.9067032337
1.55425517737743E+018,1.9067032337
1.55425517739805E+018,1.9067032337
1.55425517741762E+018,1.8115774393
1.55425517743792E+018,1.8115774393
1.55425517745824E+018,1.8485200405
1.55425517747814E+018,1.8485200405
1.5542551774976E+018,1.8485200405
1.55425517751731E+018,1.6833500862
1.55425517753754E+018,1.6833500862
1.55425517755804E+018,1.6833500862
1.5542551775776E+018,1.6247053146
1.55425517759734E+018,1.6247053146
1.55425517761756E+018,1.6627781391
1.55425517763845E+018,1.6627781391
1.55425517765823E+018,1.6627781391
1.55425517767777E+018,1.5501182079
1.55425517769816E+018,1.5501182079
1.55425517772062E+018,1.5340920687
1.55425517773764E+018,1.5340920687
1.55425517775799E+018,1.5340920687
1.5542551777778E+018,1.4922165871
1.55425517779722E+018,1.4922165871
1.55425517781836E+018,1.4922165871
1.55425517783794E+018,1.3988531828
1.55425517785801E+018,1.3988531828
1.55425517787804E+018,1.4376149178
1.55425517789805E+018,1.4376149178
1.55425517791789E+018,1.4376149178
1.55425517793863E+018,1.3253977299
1.55425517795813E+018,1.3253977299
1.55425517797782E+018,1.310495615
1.55425517799788E+018,1.310495615
1.55425517801781E+018,1.310495615
1.55425517803757E+018,1.2129179239
1.55425517805773E+018,1.2129179239
1.55425517807779E+018,1.2129179239
1.55425517809763E+018,1.1941597462
1.55425517811787E+018,1.1941597462
1.55425517813775E+018,1.1564577818
1.55425517815776E+018,1.1564577818
1.55425517817814E+018,1.1564577818
1.55425517819761E+018,1.1186685562
1.55425517821738E+018,1.1186685562
1.55425517823813E+018,1.0218033791
1.55425517825804E+018,1.0218033791
1.55425517827776E+018,1.0218033791
1.55425517829751E+018,0.9461808205
1.55425517831891E+018,0.9461808205
1.554255178338E+018,0.9461808205
1.55425517835809E+018,0.9852355719
1.55425517837788E+018,0.9852355719
1.55425517839765E+018,0.8708824515
1.55425517841804E+018,0.8708824515
1.55425517843766E+018,0.8708824515
1.55425517845742E+018,0.8524108529
1.55425517847743E+018,0.8524108529
1.55425517849786E+018,0.6989552975
1.55425517851736E+018,0.6989552975
1.55425517853754E+018,0.6989552975
1.55425517855829E+018,0.757080555
1.55425517857751E+018,0.757080555
1.55425517859779E+018,0.7583181262
1.55425517861777E+018,0.7583181262
1.55425517863783E+018,0.7583181262
1.55425517865815E+018,0.5867971778
1.55425517867829E+018,0.5867971778
1.55425517869816E+018,0.5867971778
1.55425517871895E+018,0.5900089145
1.55425517873841E+018,0.5900089145
1.55425517875816E+018,0.552431941
1.5542551787784E+018,0.552431941
1.554255178798E+018,0.552431941
1.55425517881782E+018,0.5157874227
1.55425517883852E+018,0.5157874227
1.55425517885857E+018,0.4200987518
1.55425517887788E+018,0.4200987518
1.55425517889761E+018,0.4200987518
1.55425517891802E+018,0.4590252042
1.55425517893885E+018,0.4590252042
1.55425517895862E+018,0.4013832211
1.55425517897792E+018,0.4013832211
1.55425517899796E+018,0.4013832211
1.55425517901837E+018,0.4210892916
1.55425517903757E+018,0.4210892916
1.55425517905791E+018,0.4210892916
1.55425517907818E+018,0.3060476482
1.55425517909772E+018,0.3060476482
1.55425517911759E+018,0.230910033
1.55425517913774E+018,0.230910033
1.55425517915728E+018,0.230910033
1.55425517917732E+018,0.3261776865
1.5542551791976E+018,0.3261776865
1.55425517921731E+018,0.1907148659
1.5542551792374E+018,0.1907148659
1.55425517925737E+018,0.1907148659
1.5542551792778E+018,0.1717764139
1.5542551792978E+018,0.1717764139
1.55425517931744E+018,0.1334082484
1.55425517933778E+018,0.1334082484
1.55425517935734E+018,0.1334082484
1.55425517937743E+018,0.1526827663
1.55425517939735E+018,0.1526827663
1.55425517941728E+018,0.0379369743
1.55425517943787E+018,0.0379369743
1.55425517945734E+018,0.0379369743
1.55425517947753E+018,0.0764285177
1.5542551794978E+018,0.0764285177
1.55425517951733E+018,0.0190353617
1.55425517953725E+018,0.0190353617
1.55425517955779E+018,0.0190353617
1.55425517957817E+018,0.0959189311
1.5542551795979E+018,0.0959189311
1.5542551796176E+018,0.0959189311
1.55425517963777E+018,0.0767307356
1.55425517965853E+018,0.0767307356
1.55425517967788E+018,0.0192052834
1.55425517969729E+018,0.0192052834
1.5542551797172E+018,0.0192052834
1.55425517973813E+018,0.0386680998
1.55425517975763E+018,0.0386680998
1.5542551797775E+018,0.0386680998
1.5542551797978E+018,0.0386680998
1.55425517981848E+018,0.0386680998
1.55425517983798E+018,0.0386680998
1.55425517985731E+018,0.0386680998
1.55425517987817E+018,0.0386680998
1.55425517989822E+018,0.0386680998
1.55425517991743E+018,0.0386680998
1.55425517993732E+018,0.0386680998
1.55425517995743E+018,0.0386680998
1.55425517997829E+018,0.0386680998
1.55425517999743E+018,0.0386680998
1.55425518001777E+018,0.0386680998
1.55425518003808E+018,0.0386680998
1.55425518005796E+018,0.0386680998
1.55425518007765E+018,0.0386680998
